city,state,population,lat,lng
Anchor Point,AK,2057.0,59.7703,-151.7052
Anchorage,AK,253421.0,61.1508,-149.1091
Barrow,AK,4178.0,,
Big Lake,AK,3136.0,61.526,-149.9721
Copper Center,AK,397.0,61.9845,-145.3544
Fairbanks,AK,64732.0,64.8353,-147.6534
Houston,AK,2347.0,61.6159,-149.8003
Juneau,AK,25180.0,58.4546,-134.1739
Kasilof,AK,483.0,60.331,-151.2293
Kenai Peninsula,AK,4178.0,,
Nikolaevsk,AK,279.0,59.8295,-151.5964
North Pole,AK,2101.0,64.753,-147.36
Palmer,AK,7209.0,61.5971,-149.1147
Pilot Station,AK,620.0,61.9422,-162.8828
Seward,AK,2831.0,60.1124,-149.3925
Spenard,AK,4178.0,,
Wasilla,AK,10151.0,61.577,-149.4661
Abbeville,AL,2567.0,31.5664,-85.2528
Albertville,AL,37220.0,34.2634,-86.2107
Anniston,AL,75169.0,33.6713,-85.8136
Arab,AL,8244.0,34.3309,-86.4991
Ariton,AL,739.0,31.5978,-85.7131
Ashville,AL,2291.0,33.8331,-86.2698
Atmore,AL,6368.0,31.0927,-87.4763
Baldwin County,AL,4178.0,,
Barnwell,AL,4178.0,,
Bay Minette,AL,8532.0,30.893,-87.7912
Birmingham,AL,744189.0,33.5277,-86.7987
Brooksville,AL,4178.0,,
Chunchula,AL,158.0,30.9237,-88.2072
Citronelle,AL,3900.0,31.0952,-88.2467
Clanton,AL,5876.0,32.8439,-86.623
Clay,AL,9599.0,33.698,-86.6066
Coden,AL,4178.0,,
Crenshaw County,AL,4178.0,,
Dadeville,AL,3106.0,32.8326,-85.7675
Daphne,AL,69065.0,30.6286,-87.8866
Deer Park,AL,81.0,31.2198,-88.3226
Demopolis,AL,5907.0,32.498,-87.8298
Eastaboga,AL,4178.0,,
Eclectic,AL,1020.0,32.6387,-86.0386
Elkmont,AL,473.0,34.9291,-86.9767
Eufaula,AL,8727.0,31.9102,-85.1505
Fairhope,AL,20935.0,30.522,-87.8816
Florence,AL,78112.0,34.8303,-87.6654
Gadsden,AL,61656.0,34.009,-86.0156
Gordo,AL,1644.0,33.322,-87.904
Hamilton,AL,6646.0,34.1346,-87.9755
Hanceville,AL,3352.0,34.0634,-86.7652
Haynesville,AL,4178.0,,
Homewood,AL,25476.0,33.4617,-86.8092
Hoover,AL,84920.0,33.3754,-86.8065
Huntsville,AL,309716.0,34.6988,-86.6412
Jackson County,AL,4178.0,,
Jacksonville,AL,12612.0,33.8088,-85.7544
Killeen,AL,4178.0,,
Lawrence County,AL,4178.0,,
Leeds,AL,12031.0,33.5429,-86.5636
Luverne,AL,2770.0,31.7186,-86.2687
Macon County,AL,4178.0,,
Madison,AL,48861.0,34.7114,-86.7626
Meridianville,AL,6731.0,34.8729,-86.5722
Millbrook,AL,15318.0,32.5035,-86.3728
Mobile,AL,318084.0,30.6782,-88.1163
Monroeville,AL,4395.0,31.5162,-87.3279
Montgomery,AL,255908.0,32.3473,-86.2666
Morris,AL,1970.0,33.7467,-86.8036
Muscle Shoals,AL,14022.0,34.7435,-87.6343
Ohatchee,AL,1157.0,33.7877,-86.0278
Opelika,AL,30240.0,32.6621,-85.3772
Opp,AL,4668.0,31.2848,-86.257
Oxford,AL,21180.0,33.5966,-85.869
Ozark,AL,11678.0,31.4508,-85.6473
Pell City,AL,11952.0,33.5609,-86.2668
Phenix City,AL,36219.0,32.4588,-85.0251
Piedmont,AL,3471.0,33.9267,-85.6157
Prichard,AL,21732.0,30.7735,-88.1301
Rainbow City,AL,9555.0,33.9337,-86.0922
Ranburne,AL,404.0,33.5259,-85.339
Saraland,AL,14576.0,30.8457,-88.099
Selma,AL,21083.0,32.4166,-87.0336
Semmes,AL,4934.0,30.7886,-88.2342
Sylacauga,AL,17307.0,33.1779,-86.2606
Talladega,AL,13277.0,33.4329,-86.0976
Tuscaloosa,AL,154204.0,33.2348,-87.5266
Tuscumbia,AL,8398.0,34.7204,-87.7035
Vestavia Hills,AL,34291.0,33.4518,-86.7438
Washington County,AL,4178.0,,
Westover,AL,1682.0,33.3692,-86.5354
Alexander,AR,3057.0,34.6185,-92.4512
Atkins,AR,3038.0,35.2414,-92.9465
Austin,AR,3282.0,35.0069,-91.9896
Batesville,AR,12050.0,35.7687,-91.6226
Benton,AR,35789.0,34.5771,-92.5715
Bentonville,AR,49298.0,36.355,-94.2299
Blytheville,AR,16388.0,35.9322,-89.9051
Bryant,AR,20194.0,34.6152,-92.4912
Bull Shoals,AR,1944.0,36.3747,-92.5902
Cabot,AR,26141.0,34.9764,-92.0273
Clarksville,AR,7664.0,35.4569,-93.4803
Desha,AR,4178.0,,
Dover,AR,1407.0,35.391,-93.1143
England,AR,2683.0,34.5459,-91.969
Farmington,AR,6893.0,36.037,-94.2537
Fayetteville,AR,341890.0,36.0713,-94.166
Formosa,AR,4178.0,,
Forrest City,AR,12728.0,35.0102,-90.7874
Fort Smith,AR,125562.0,35.3493,-94.3695
Hackett,AR,825.0,35.1877,-94.4107
Helena,AR,4178.0,,
Helena-West Helena,AR,9864.0,34.5314,-90.6201
Jacksonville,AR,28513.0,34.8807,-92.1302
Jonesboro,AR,73788.0,35.8211,-90.6793
Little Rock,AR,442699.0,34.7255,-92.358
London,AR,1051.0,35.328,-93.2417
Lone Rock,AR,4178.0,,
Lowell,AR,9215.0,36.2563,-94.1518
Magnolia,AR,10339.0,33.2774,-93.2261
